0 0 0 0
0 1 0 0
0 2 0 0
0 3 0 0
0 4 0 0
0 5 0 0
0 6 0 0
0 7 0 0
0 8 0 0
0 9 0 0

1 0 0 0
1 1 1 0.841471
1 2 2 0.909297
1 3 3 0.14112
1 4 4 -0.756802
1 5 5 -0.958924
1 6 6 -0.279415
1 7 7 0.656987
1 8 8 0.989358
1 9 9 0.412118

2 0 0 0
2 1 2 0.909297
2 2 4 -0.756802
2 3 6 -0.279415
2 4 8 0.989358
2 5 10 -0.544021
2 6 12 -0.536573
2 7 14 0.990607
2 8 16 -0.287903
2 9 18 -0.750987

3 0 0 0
3 1 3 0.14112
3 2 6 -0.279415
3 3 9 0.412118
3 4 12 -0.536573
3 5 15 0.650288
3 6 18 -0.750987
3 7 21 0.836656
3 8 24 -0.905578
3 9 27 0.956376

4 0 0 0
4 1 4 -0.756802
4 2 8 0.989358
4 3 12 -0.536573
4 4 16 -0.287903
4 5 20 0.912945
4 6 24 -0.905578
4 7 28 0.270906
4 8 32 0.551427
4 9 36 -0.991779

5 0 0 0
5 1 5 -0.958924
5 2 10 -0.544021
5 3 15 0.650288
5 4 20 0.912945
5 5 25 -0.132352
5 6 30 -0.988032
5 7 35 -0.428183
5 8 40 0.745113
5 9 45 0.850904

6 0 0 0
6 1 6 -0.279415
6 2 12 -0.536573
6 3 18 -0.750987
6 4 24 -0.905578
6 5 30 -0.988032
6 6 36 -0.991779
6 7 42 -0.916522
6 8 48 -0.768255
6 9 54 -0.558789

7 0 0 0
7 1 7 0.656987
7 2 14 0.990607
7 3 21 0.836656
7 4 28 0.270906
7 5 35 -0.428183
7 6 42 -0.916522
7 7 49 -0.953753
7 8 56 -0.521551
7 9 63 0.167356

8 0 0 0
8 1 8 0.989358
8 2 16 -0.287903
8 3 24 -0.905578
8 4 32 0.551427
8 5 40 0.745113
8 6 48 -0.768255
8 7 56 -0.521551
8 8 64 0.920026
8 9 72 0.253823

9 0 0 0
9 1 9 0.412118
9 2 18 -0.750987
9 3 27 0.956376
9 4 36 -0.991779
9 5 45 0.850904
9 6 54 -0.558789
9 7 63 0.167356
9 8 72 0.253823
9 9 81 -0.629888

